CaseID,Title,Location,Country,Number of Victim Fatalities,Number of Victims Injured,Total Number of Victims,Description,Date,
149,Washington Navy Yard,Washington D.C.,US,12,3,15,"On September 16, 2013, a 34-yearl old contractor for the Navy Yard in Washington D.C, entered the building shooting randomly, killing twelve people and injuring three surviving victims before he was shot and killed by law enforcement officers.  Five other people were injured during the incident while trying to escape.",9/16/13,
150,Sparks Middle School,"Sparks, Nevada",US,1,2,3,"On October 21, 2013, a 12-year old student at Sparks Middle School in Nevada, shot and injured two students and killed a teacher before killing himself. ",10/21/13,
155,Los Angeles International Airport (LAX),"Los Angeles, California",US,1,3,4,"On November 1, 2013, an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California, and pulled a rifle from his bag, killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey, are you TSA?"". If they said no, the shooter moved on.",11/1/13,
156,Centennial Hill Bar & Grill,"Montgomery, Alabama",US,3,5,8,"Early morning on December 28, 2013, a rapper had a confrontation with an acquaintance before going onstage. Soon after, the acquaintance left and re-entered the building and fired at the rapper. He and another shooter injured 5 and killed 3, including the rapper.",12/28/13,
167,Cedarville Rancheria Tribe,"Alturas, California",US,4,2,6,"On February 20, 2014, a 44-year old woman went to a tribe eviction meeting where she killed three family members and a worker. After running out of ammunition, the shooter grabbed a butcher knife and stabbed another person.",2/20/14,
157,San Francisco Tenderloin,"San Francisco, CA",US,0,8,8,"On the evening of March 23, 2014, the shooters were arguing with a crowd outside of a club, which prompted them to retrieve arms from their car for the attack. Eight people were wounded by the attack, and there were no fatalities. The shooters were later apprehended.",3/23/14,
158,Fort Hood,"Killeen, Texas",US,3,16,19,"On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide. ",4/2/14,
159,Kennesaw FedEx,"Kennesaw, Georgia",US,0,6,6,"On the morning of April 29, 2014, a 19 year-old package handler at the FedEx in Kennesaw, Georgia arrived at his place of work and began shooting. He wounded six of his coworkers before committing suicide.",4/29/14,
160,Isla Vista,"Isla Vista, California",US,3,7,10,"On the evening of May 23, 2014, a 22-year-old student and resident of Isla Vista stabbed two roommates and their friend to death in his apartment. He then drove to a sorority house in Isla Vista and attempted to enter the premises to no avail, and began shooting at a neighboring sorority's members, killing two and wounding another. He continued shooting between altercations with police throughout Isla Vista, killing another male student and wounding six more before committing suicide. ",5/23/14,
161,Seattle Pacific University,"Seattle, Washington",US,1,2,3,"On June 5, 2014, a 26-year-old man entered a hall on the campus of Seattle Pacific University and began shooting at students. The shooter killed one student and injured two others before a student tackled and stopped the shooter as he was reloading.",6/5/14,
162,Nellis Plaza,"Las Vegas, Nevada",US,3,0,3,"On the afternoon of June 8, 2014, a man and his wife approached two police officers having lunch in Las Vegas and began shooting, killing them both. The couple then fled to Walmart, where they killed an armed civilian attempting to stop the shooters. The man was killed by police and the woman killed herself at the Walmart.",6/8/14,
